"SAS statistics gathered on: Tue Dec 11 11:45:59 EST 2012 - Sampling interval: 6 days, 17:53:20"




"SAS Device Summary:"

"SAS Device #1 = IOC located in RAID Enclosure 0, slot 0 "
"SAS Device #2 = Expander located in RAID Enclosure 0, slot 0 "
"SAS Device #3 = Physical Disk [0,1]"
"SAS Device #4 = Physical Disk [0,2]"
"SAS Device #5 = Physical Disk [0,3]"
"SAS Device #6 = Physical Disk [0,4]"
"SAS Device #7 = Physical Disk [0,5]"
"SAS Device #8 = Physical Disk [0,6]"
"SAS Device #9 = Physical Disk [0,7]"
"SAS Device #10 = Physical Disk [0,8]"
"SAS Device #11 = Physical Disk [0,9]"
"SAS Device #12 = Physical Disk [0,10]"
"SAS Device #13 = Physical Disk [0,11]"
"SAS Device #14 = Physical Disk [0,12]"
"SAS Device #15 = Physical Disk [0,13]"
"SAS Device #16 = Physical Disk [0,14]"

"SAS Statistics Details:"

"Devices (Attached To)","SASDev","PHYID ","CURSP ","MAXSP","IDWC","RDEC ","LDWSC","RPC"

"","","","","","","","",""
"Physical Disk Channel 0, RAID Enclosure 0","","","","","","","",""
"","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)","1","0","3 Gbps","3 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","1","1","3 Gbps","3 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (IOC)","2","16","3 Gbps","3 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (IOC)","2","17","3 Gbps","3 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)  - DATA INVALID","","","","","","","",""
"Physical Disk [0,1]","2","1","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,2]","2","2","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,3]","2","3","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,4]","2","4","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,5]","2","5","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,6]","2","6","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,7]","2","7","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,8]","2","8","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,9]","2","9","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,10]","2","10","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,11]","2","11","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,12]","2","12","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,13]","2","13","3 Gbps","3 Gbps","0","0","0","0"
"Physical Disk [0,14]","2","14","3 Gbps","3 Gbps","0","0","0","0"


"Legend:"

"PHYID =A number in the range 0-127 that is the PHY identifier"
"CURSP =The current negotiated physical link rate for the PHY "
"MAXSP=The hardware maximum physical link rate for the PHY"
"IDWC=Number of invalid dwords that have been received outside of PHY reset sequences"
"RDEC =Number of dwords containing running disconsistency errors that have been received"
"LDWSC=Times the PHY has restarted the link reset seq. because it lost dword synchronization"
"RPC=Times the PHY did not receive dword synchronization during the final SAS speed negotiation window"
"DATA INVALID=Statistics could not be retrieved or device is a SATA physical disk"

