WGASAN01, Slot 0
virtual disk,Time, Total Requests Serviced, Total Blocks Requested, Total Read Requests, Total Read Blocks Requested, Total Write Requests, Total Write Blocks Requested, Total Percent Read Requests, Total Average Blocks Requested, Total Large Reads, Total Large Read Blocks Requested, Total Large Writes, Total Large Write Blocks Requested, Total Cache Read Checks, Total Cache Read Check Hits, Total Cache Write Requests, Total Cache Write Hits, Total SSD Cache Read Hits 
FAXQBServer, Tue Feb 26 12:25:01 CST 2013, 4957613, 546247858, 4103145, 474533584, 854468, 71714274, 82, 110, 0, 0, 0, 0, 4103145, 3567163, 0, 854376, 0
FAXServer, Tue Feb 26 12:25:01 CST 2013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ImageServer, Tue Feb 26 12:25:01 CST 2013, 1277399, 120155580, 686010, 90145769, 591389, 30009811, 53, 94, 0, 0, 0, 0, 686010, 582265, 0, 591380, 0
NetworkShareFolder, Tue Feb 26 12:25:01 CST 2013, 4269015, 400363934, 2091312, 375500225, 2177703, 24863709, 48, 93, 0, 0, 0, 0, 2091312, 2014907, 0, 2177672, 0
NextgenImageServerBackup, Tue Feb 26 12:25:01 CST 2013, 32731638, 1044247661, 16669666, -1062047522, 16061972, 2106295183, 50, 31, 0, 0, 0, 0, 16669666, 16634801, 0, 16057876, 0
NextgenTestInterface, Tue Feb 26 12:25:01 CST 2013, 841, 1420, 841, 1420, 0, 0, 100, 1, 0, 0, 0, 0, 841, 605, 0, 0, 0
ProvitionDBServer, Tue Feb 26 12:25:01 CST 2013, 150168330, 1468130509, 55537882, -2042865031, 94630448, -783971756, 8, 9, 0, 0, 0, 0, 55537882, 55498522, 0, 94629382, 0
ReportHQMServer, Tue Feb 26 12:25:01 CST 2013, 19957382, 1111735149, 18037711, 170183745, 1919671, 941551404, 90, 55, 0, 0, 0, 0, 18037711, 17879074, 0, 1919542, 0
SBSBackup, Tue Feb 26 12:25:01 CST 2013, 105039291, 396275457, 99293680, -222007062, 5745611, 618282519, 12, 3, 0, 0, 0, 0, 99293680, 98227231, 0, 5743049, 0
WGASAN01, Slot 1
virtual disk,Time, Total Requests Serviced, Total Blocks Requested, Total Read Requests, Total Read Blocks Requested, Total Write Requests, Total Write Blocks Requested, Total Percent Read Requests, Total Average Blocks Requested, Total Large Reads, Total Large Read Blocks Requested, Total Large Writes, Total Large Write Blocks Requested, Total Cache Read Checks, Total Cache Read Check Hits, Total Cache Write Requests, Total Cache Write Hits, Total SSD Cache Read Hits 
ExchangeDatabase, Tue Feb 26 12:25:01 CST 2013, 39412030, 500257966, 31566016, 449966114, 7846014, 50291852, 80, 12, 0, 0, 0, 0, 31566016, 30683168, 0, 7843637, 0
ImageServerICSIImages, Tue Feb 26 12:25:01 CST 2013, 834728, 228051705, 218077, 26769825, 616651, 201281880, 26, 273, 0, 0, 0, 0, 218077, 179861, 0, 615001, 0
ImageServerISCSIImages, Tue Feb 26 12:25:01 CST 2013, 373858, 52206779, 373576, 52152819, 282, 53960, 99, 139, 0, 0, 0, 0, 373576, 339861, 0, 282, 0
NexGenSQLDB, Tue Feb 26 12:25:01 CST 2013, 103578445, -1703402155, 67737221, 1031682530, 35841224, 1559882611, 23, 25, 0, 0, 0, 0, 67737221, 41049380, 0, 35793075, 0
Olympus, Tue Feb 26 12:25:01 CST 2013, 32399230, -1171326061, 5934501, 838870360, 26464729, -2010196421, 18, 96, 0, 0, 0, 0, 5934501, 5560921, 0, 26459727, 0
