"SAS statistics gathered on: Tue Feb 26 12:25:03 CST 2013 - Sampling interval: 68 days, 16:25:34"




"SAS Device Summary:"

"SAS Device #1 = IOC located in RAID Enclosure 0, slot 0 "
"SAS Device #2 = Expander located in RAID Enclosure 0, slot 0 "
"SAS Device #3 = Expander located in RAID Enclosure 0, slot 1 "
"SAS Device #4 = Physical Disk [0,0]"
"SAS Device #5 = Physical Disk [0,1]"
"SAS Device #6 = Physical Disk [0,2]"
"SAS Device #7 = Physical Disk [0,3]"
"SAS Device #8 = Physical Disk [0,4]"
"SAS Device #9 = Physical Disk [0,5]"
"SAS Device #10 = Physical Disk [0,6]"
"SAS Device #11 = Physical Disk [0,7]"
"SAS Device #12 = IOC located in RAID Enclosure 0, slot 1 "

"SAS Statistics Details:"

"Devices (Attached To)","SASDev","PHYID ","CURSP ","MAXSP","IDWC","RDEC ","LDWSC","RPC"

"","","","","","","","",""
"Physical Disk Channel 0, RAID Enclosure 0","","","","","","","",""
"","","","","","","","",""
"RAID Controller Module in slot 0 - (Expander)","1","8","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","1","9","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","1","10","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","1","11","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (IOC)","2","12","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (IOC)","2","13","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (IOC)","2","14","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (IOC)","2","15","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","4","0","6 Gbps","6 Gbps","0","0","311","1"
"RAID Controller Module in slot 0 - (Expander)","5","0","6 Gbps","6 Gbps","0","0","162","1"
"RAID Controller Module in slot 0 - (Expander)","6","0","6 Gbps","6 Gbps","0","0","8723","1"
"RAID Controller Module in slot 0 - (Expander)","7","0","6 Gbps","6 Gbps","0","0","26562","1"
"RAID Controller Module in slot 0 - (Expander)","8","0","6 Gbps","6 Gbps","0","0","68218","1"
"RAID Controller Module in slot 0 - (Expander)","9","0","6 Gbps","6 Gbps","0","0","66","1"
"RAID Controller Module in slot 0 - (Expander)","10","0","6 Gbps","6 Gbps","64","35","16","1"
"RAID Controller Module in slot 0 - (Expander)","11","0","6 Gbps","6 Gbps","0","0","12862","1"
"RAID Controller Module in slot 0 - (Expander)","12","12","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","12","13","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","12","14","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 0 - (Expander)","12","15","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 1 - (IOC)","2","16","6 Gbps","6 Gbps","0","0","0","0"
"RAID Controller Module in slot 1 - (IOC)","2","17","6 Gbps","6 Gbps","0","0","0","0"
